"Gene.Name","Gene.ID.x","log2FoldChange","padj","Gene.ID.y","atlas_log2FC","direction_R","direction_ATLAS","match"
"Acot9","ENSMUSG00000025287",0.91493156583578,0.16729425504756,"ENSMUSG00000025287",0.9,"Up","Up",TRUE
"Acox1","ENSMUSG00000020777",-0.563540251176847,0.186139026789001,"ENSMUSG00000020777",-0.6,"Down","Down",TRUE
"Acox2","ENSMUSG00000021751",0.633742682074229,0.837134536121344,"ENSMUSG00000021751",0.4,"Up","Up",TRUE
"Acox3","ENSMUSG00000029098",-0.0864339155721201,0.980156613068721,"ENSMUSG00000029098",-0.1,"Down","Down",TRUE
"Acp1","ENSMUSG00000044573",-0.390500489504171,0.843404896842379,"ENSMUSG00000044573",-0.3,"Down","Down",TRUE
"Acp2","ENSMUSG00000002103",-0.354394578557457,0.888073296435024,"ENSMUSG00000002103",-0.3,"Down","Down",TRUE
"Acp6","ENSMUSG00000028093",0.124156294617416,0.960490947128121,"ENSMUSG00000028093",0.1,"Up","Up",TRUE
"Acpp","ENSMUSG00000032561",-0.745818712609213,0.760677981619051,"ENSMUSG00000032561",-0.5,"Down","Down",TRUE
"Acsbg1","ENSMUSG00000032281",2.63825395315334,0.0116441461984749,"ENSMUSG00000032281",2.2,"Up","Up",TRUE
"Acsf2","ENSMUSG00000076435",-0.662084007720012,0.21175416451384,"ENSMUSG00000076435",-0.6,"Down","Down",TRUE
"Acsf3","ENSMUSG00000015016",0.196816584234874,0.967666156175242,"ENSMUSG00000015016",0.1,"Up","Up",TRUE
"Acsl1","ENSMUSG00000018796",0.361836280451464,0.793735220955666,"ENSMUSG00000018796",0.3,"Up","Up",TRUE
"Acsl3","ENSMUSG00000032883",-0.217450282541481,0.837611775214489,"ENSMUSG00000032883",-0.2,"Down","Down",TRUE
"Acsl4","ENSMUSG00000031278",0.648298162696467,0.391954307320749,"ENSMUSG00000031278",0.6,"Up","Up",TRUE
